id;row;col;seat_class;stage_id
1;A;1;A;1
2;A;2;A;1
3;A;3;A;1
4;A;4;A;1
5;A;5;A;1
6;A;6;A;1
7;A;7;A;1
8;A;8;A;1
9;A;9;A;1
10;A;10;A;1
11;B;1;A;1
12;B;2;A;1
13;B;3;A;1
14;B;4;A;1
15;B;5;A;1
16;B;6;A;1
17;B;7;A;1
18;B;8;A;1
19;B;9;A;1
20;B;10;A;1
21;C;1;A;1
22;C;2;A;1
23;C;3;A;1
24;C;4;A;1
25;C;5;A;1
26;C;6;A;1
27;C;7;A;1
28;C;8;A;1
29;C;9;A;1
30;C;10;A;1
31;D;1;A;1
32;D;2;A;1
33;D;3;A;1
34;D;4;A;1
35;D;5;A;1
36;D;6;A;1
37;D;7;A;1
38;D;8;A;1
39;D;9;A;1
40;D;10;A;1
41;E;1;A;1
42;E;2;A;1
43;E;3;A;1
44;E;4;A;1
45;E;5;A;1
46;E;6;A;1
47;E;7;A;1
48;E;8;A;1
49;E;9;A;1
50;E;10;A;1
